HVPID,HVMID
HVP0000,HVM0082
HVP0000,HVM0198
HVP0000,HVM1130
HVP0000,HVM1525
HVP0000,HVM4625
HVP0001,HVM1129
HVP0002,HVM0663
HVP0002,HVM1130
HVP0002,HVM1631
HVP0002,HVM1674
HVP0002,HVM3224
HVP0002,HVM3994
HVP0002,HVM4488
HVP0003,HVM1130
HVP0003,HVM1269
HVP0003,HVM1674
HVP0003,HVM2313
HVP0004,HVM0116
HVP0004,HVM1130
HVP0004,HVM1252
HVP0004,HVM1876
HVP0005,HVM1129
HVP0006,HVM0187
HVP0006,HVM0198
HVP0006,HVM1138
HVP0006,HVM1975
HVP0007,HVM0198
HVP0007,HVM1030
HVP0008,HVM0082
HVP0008,HVM0332
HVP0008,HVM0896
HVP0008,HVM1674
HVP0008,HVM3671
HVP0009,HVM0198
HVP0010,HVM0198
HVP0010,HVM0457
HVP0010,HVM2941
HVP0010,HVM4488
HVP0011,HVM0082
HVP0011,HVM0187
HVP0011,HVM0198
HVP0011,HVM2769
HVP0011,HVM4508
HVP0012,HVM1101
HVP0012,HVM1753
HVP0013,HVM3173
HVP0014,HVM0459
HVP0014,HVM0836
HVP0014,HVM1129
HVP0014,HVM3183
HVP0015,HVM0082
HVP0015,HVM0407
HVP0015,HVM1674
HVP0015,HVM2799
HVP0016,HVM2264
HVP0017,HVM1114
HVP0017,HVM1931
HVP0017,HVM2591
HVP0017,HVM3572
HVP0018,HVM0290
HVP0018,HVM1006
HVP0019,HVM0459
HVP0019,HVM2270
HVP0019,HVM3183
HVP0020,HVM0663
HVP0020,HVM0765
HVP0020,HVM3009
HVP0021,HVM3455
HVP0022,HVM4174
HVP0023,HVM0274
HVP0023,HVM3071
HVP0023,HVM3964
HVP0024,HVM0367
HVP0024,HVM0453
HVP0024,HVM0663
HVP0024,HVM1695
HVP0024,HVM1876
HVP0024,HVM2404
HVP0024,HVM3741
HVP0024,HVM4499
HVP0025,HVM1130
HVP0025,HVM2404
HVP0026,HVM0367
HVP0026,HVM0525
HVP0026,HVM0663
HVP0026,HVM1138
HVP0026,HVM1478
HVP0026,HVM1525
HVP0026,HVM3455
HVP0026,HVM3671
HVP0026,HVM4327
HVP0026,HVM4488
HVP0027,HVM0453
HVP0027,HVM1114
HVP0027,HVM1928
HVP0027,HVM2691
HVP0027,HVM4603
HVP0028,HVM0282
HVP0028,HVM0290
HVP0029,HVM1435
HVP0030,HVM3198
HVP0030,HVM3481
HVP0031,HVM1572
HVP0031,HVM1631
HVP0031,HVM2799
HVP0031,HVM3093
HVP0031,HVM4499
HVP0032,HVM0290
HVP0032,HVM2260
HVP0033,HVM0187
HVP0033,HVM3600
HVP0033,HVM4420
HVP0034,HVM1674
HVP0034,HVM4296
HVP0035,HVM0168
HVP0035,HVM0187
HVP0035,HVM0198
HVP0035,HVM1114
HVP0035,HVM1130
HVP0035,HVM1940
HVP0035,HVM1963
HVP0035,HVM2941
HVP0035,HVM2999
HVP0036,HVM3183
HVP0036,HVM4454
HVP0037,HVM1749
HVP0038,HVM0187
HVP0038,HVM1114
HVP0038,HVM1130
HVP0038,HVM2562
HVP0038,HVM2941
HVP0039,HVM0155
HVP0039,HVM0332
HVP0039,HVM0367
HVP0039,HVM0449
HVP0039,HVM1124
HVP0039,HVM1695
HVP0039,HVM4420
HVP0039,HVM4516
HVP0040,HVM1130
HVP0040,HVM1674
HVP0041,HVM4559
HVP0042,HVM0290
HVP0042,HVM4559
HVP0043,HVM0187
HVP0043,HVM0457
HVP0043,HVM1114
HVP0043,HVM1674
HVP0043,HVM2263
HVP0043,HVM3159
HVP0043,HVM4474
HVP0044,HVM2809
HVP0045,HVM0183
HVP0045,HVM0233
HVP0045,HVM2249
HVP0045,HVM3535
HVP0046,HVM0187
HVP0046,HVM0367
HVP0046,HVM1114
HVP0046,HVM1327
HVP0046,HVM2941
HVP0047,HVM0290
HVP0047,HVM1674
HVP0047,HVM3009
HVP0047,HVM3183
HVP0047,HVM3969
HVP0047,HVM4559
HVP0048,HVM0112
HVP0048,HVM0471
HVP0048,HVM0663
HVP0048,HVM1478
HVP0048,HVM1588
HVP0048,HVM1631
HVP0048,HVM1851
HVP0048,HVM2999
HVP0049,HVM0290
HVP0049,HVM2260
HVP0049,HVM3018
HVP0049,HVM3183
HVP0049,HVM3966
HVP0050,HVM3208
HVP0050,HVM3969
HVP0051,HVM0183
HVP0051,HVM0195
HVP0051,HVM0663
HVP0051,HVM1130
HVP0051,HVM3964
HVP0052,HVM1856
HVP0052,HVM1940
HVP0052,HVM3741
HVP0052,HVM4296
HVP0053,HVM1074
HVP0054,HVM2223
HVP0054,HVM3212
HVP0055,HVM0187
HVP0055,HVM0261
HVP0055,HVM0457
HVP0055,HVM1114
HVP0055,HVM1130
HVP0055,HVM1869
HVP0055,HVM1967
HVP0055,HVM2376
HVP0055,HVM3153
HVP0055,HVM3226
HVP0055,HVM4173
HVP0055,HVM4211
HVP0056,HVM2166
HVP0056,HVM4559
HVP0057,HVM0350
HVP0058,HVM0198
HVP0058,HVM0367
HVP0058,HVM1130
HVP0058,HVM1695
HVP0058,HVM1737
HVP0058,HVM2879
HVP0058,HVM2941
HVP0058,HVM3847
HVP0059,HVM0342
HVP0059,HVM0367
HVP0059,HVM1124
HVP0059,HVM2376
HVP0059,HVM2890
HVP0059,HVM2941
HVP0059,HVM4463
HVP0059,HVM4474
HVP0060,HVM0350
HVP0061,HVM0457
HVP0061,HVM0765
HVP0061,HVM2604
HVP0061,HVM2890
HVP0061,HVM3045
HVP0061,HVM3203
HVP0061,HVM3969
HVP0061,HVM4044
HVP0062,HVM1953
HVP0062,HVM2227
HVP0062,HVM2591
HVP0062,HVM3572
HVP0063,HVM0155
HVP0063,HVM0332
HVP0063,HVM1310
HVP0063,HVM1631
HVP0064,HVM0238
HVP0064,HVM1131
HVP0064,HVM1695
HVP0064,HVM2376
HVP0065,HVM0525
HVP0066,HVM0082
HVP0066,HVM0189
HVP0066,HVM0407
HVP0066,HVM0765
HVP0066,HVM1674
HVP0066,HVM2604
HVP0066,HVM2941
HVP0066,HVM3198
HVP0066,HVM3401
HVP0066,HVM4344
HVP0066,HVM4559
HVP0067,HVM0187
HVP0067,HVM0198
HVP0067,HVM0332
HVP0067,HVM0367
HVP0067,HVM1130
HVP0067,HVM2941
HVP0068,HVM0198
HVP0068,HVM0367
HVP0068,HVM0881
HVP0068,HVM1130
HVP0068,HVM1695
HVP0068,HVM2941
HVP0068,HVM4516
HVP0069,HVM1860
HVP0069,HVM3617
HVP0070,HVM0348
HVP0070,HVM0535
HVP0070,HVM1130
HVP0070,HVM1417
HVP0070,HVM3212
HVP0071,HVM0187
HVP0071,HVM0198
HVP0071,HVM0367
HVP0071,HVM0457
HVP0071,HVM1114
HVP0071,HVM1130
HVP0071,HVM1695
HVP0071,HVM2941
HVP0071,HVM4488
HVP0072,HVM1378
HVP0073,HVM0332
HVP0073,HVM0794
HVP0073,HVM3080
HVP0074,HVM3826
HVP0075,HVM4069
HVP0076,HVM1478
HVP0076,HVM1727
HVP0076,HVM4433
HVP0077,HVM1727
HVP0078,HVM0187
HVP0078,HVM0457
HVP0078,HVM1525
HVP0078,HVM1737
HVP0078,HVM2941
HVP0078,HVM3826
HVP0078,HVM4474
HVP0079,HVM0332
HVP0079,HVM0348
HVP0080,HVM0082
HVP0080,HVM0794
HVP0080,HVM1117
HVP0080,HVM1693
HVP0080,HVM2691
HVP0080,HVM3272
HVP0080,HVM3659
HVP0081,HVM1670
HVP0082,HVM0765
HVP0082,HVM3198
HVP0083,HVM0187
HVP0083,HVM0765
HVP0083,HVM1964
HVP0083,HVM2941
HVP0083,HVM3153
HVP0083,HVM3159
HVP0084,HVM2135
HVP0085,HVM3335
HVP0086,HVM0332
HVP0086,HVM0457
HVP0086,HVM1130
HVP0086,HVM1525
HVP0086,HVM1693
HVP0086,HVM2604
HVP0086,HVM2941
HVP0087,HVM0187
HVP0087,HVM0471
HVP0087,HVM0765
HVP0087,HVM1327
HVP0087,HVM1693
HVP0087,HVM2941
HVP0087,HVM4474
HVP0088,HVM0239
HVP0089,HVM0198
HVP0089,HVM0367
HVP0089,HVM0453
HVP0089,HVM0663
HVP0089,HVM1695
HVP0089,HVM2600
HVP0089,HVM2604
HVP0089,HVM4211
HVP0089,HVM4296
HVP0089,HVM4516
HVP0090,HVM0471
HVP0090,HVM0525
HVP0090,HVM2810
HVP0090,HVM3455
HVP0090,HVM3667
HVP0090,HVM4327
HVP0091,HVM0187
HVP0091,HVM0471
HVP0091,HVM0663
HVP0091,HVM0766
HVP0091,HVM1525
HVP0091,HVM1734
HVP0091,HVM2604
HVP0091,HVM3455
HVP0091,HVM4488
HVP0092,HVM1130
HVP0092,HVM1138
HVP0092,HVM2999
HVP0092,HVM3093
HVP0092,HVM3660
HVP0092,HVM3667
HVP0092,HVM3671
HVP0092,HVM4327
HVP0093,HVM0663
HVP0093,HVM0869
HVP0093,HVM1928
HVP0093,HVM2564
HVP0093,HVM2809
HVP0094,HVM0525
HVP0094,HVM0663
HVP0094,HVM1928
HVP0094,HVM2564
HVP0094,HVM2604
HVP0094,HVM3455
HVP0094,HVM4044
HVP0095,HVM2226
HVP0095,HVM2604
HVP0095,HVM4211
HVP0095,HVM4296
HVP0095,HVM4488
HVP0096,HVM0187
HVP0096,HVM0367
HVP0096,HVM0457
HVP0096,HVM1695
HVP0096,HVM2604
HVP0096,HVM2890
HVP0096,HVM4211
HVP0096,HVM4488
HVP0097,HVM1579
HVP0097,HVM1695
HVP0097,HVM2604
HVP0097,HVM4488
HVP0098,HVM0663
HVP0098,HVM1674
HVP0098,HVM1695
HVP0098,HVM2604
HVP0098,HVM4488
HVP0099,HVM0663
HVP0099,HVM1695
HVP0099,HVM1911
HVP0099,HVM2151
HVP0099,HVM2404
HVP0099,HVM2604
HVP0099,HVM3289
HVP0099,HVM4211
HVP0099,HVM4296
HVP0099,HVM4508
HVP0100,HVM1878
HVP0101,HVM1130
HVP0101,HVM1674
HVP0101,HVM1695
HVP0101,HVM3224
HVP0101,HVM4499
HVP0102,HVM0663
HVP0103,HVM2206
HVP0104,HVM1130
HVP0104,HVM1612
HVP0104,HVM3671
HVP0105,HVM0187
HVP0106,HVM0663
HVP0106,HVM1130
HVP0106,HVM3009
HVP0107,HVM0755
HVP0107,HVM3093
HVP0107,HVM3443
HVP0108,HVM0457
HVP0108,HVM0468
HVP0108,HVM3826
HVP0109,HVM0765
HVP0109,HVM2810
HVP0109,HVM3638
HVP0110,HVM0663
HVP0110,HVM1130
HVP0110,HVM1525
HVP0110,HVM1674
HVP0110,HVM1695
HVP0110,HVM4508
HVP0111,HVM0663
HVP0111,HVM1130
HVP0111,HVM1940
HVP0111,HVM2941
HVP0112,HVM0183
HVP0112,HVM0198
HVP0112,HVM1030
HVP0112,HVM1130
HVP0112,HVM1695
HVP0112,HVM3208
HVP0112,HVM3226
HVP0112,HVM4488
HVP0113,HVM0198
