HVMID,cn_name,pinyin_name,en_name,latin_name,Properties,Meridians,UsePart,Function,Indication,Toxicity,Clinical_manifestations,Therapeutic_en_class,Therapeutic_cn_class,HERB_id,TCMID_id,TCM_ID_id,SymMap_id,TCMSP_id
HVM0000,阿比西尼亚刺桐,A BI XI NI YA CI TONG,Abyssinia Coralbean,Erythrina abyssinica,,,,,,,,,,HERB000001,,6286.0,,
HVM0001,阿比西尼亚牛筋果,A BI XI NI YA NIU JIN GUO,Abyssinia Harrisonia,Harrisonia abyssinica,,,,,,,,,,HERB000002,,4984.0,,
HVM0002,阿尔及利亚棉蓟,A ER JI ER DA CHI JI,Algerian Cottonthistle,Onopordum algeriense,,,,,,,,,,HERB000003,,2229.0,,
HVM0003,阿尔及利亚鸢尾,A ER JI LI YA YUAN WEI,Algerian Iris,Iris unguicularis,,,,,,,,,,HERB000005,,5086.0,,
HVM0004,阿富汗丁香,A FU HAN DING XIANG,Afghanistan Lilac,Syringa afghanica,,,,,,,,,,HERB000008,,7658.0,,
HVM0005,阿富汗杜鹃花,A FU HAN DU JUAN HUA,HCollett’s Rhododendron,Rhododendron collettianum,,,,,,,,,,HERB000009,,5047.0,,
HVM0006,阿福泽尔马钱子,A FU ZE ER MA QIAN ZI,Afzel Poisonnut,Strychnos afzelii,,,,,,,,,,HERB000011,,1525.0,,
HVM0007,阿江榄仁,A JIANG LAN REN,,Terminalia arjuna,,,,,,,,,,HERB000016,,7123.0,,
HVM0008,阿拉伯胶金合欢,A LA BO JIAO JIN HE HUAN,Gum-arabic Tree,Acacia nilotica,,,,,,,,,,HERB000018,,1316.0,,
HVM0009,阿拉伯金合欢,A LA BO JIN HE HUAN,Arabian Acacia,Acacia arabica,,,,,,,,,,HERB000019,,5352.0,,
HVM0010,阿拉伯婆婆纳,A LA BO PO PO NA,Iran Speedwell,Veronica persica,,,whole herb,"To dispel wind and eliminate damp, strengthen lumbus, interrupt malaria.","Wind-damp impediment pain, kidney vacuity lumbago, enduring malaria.",,,,,HERB000020,,7039.0,,
HVM0011,阿里红,A LI HONG,Fomes Officinalis Sporocarp,Fomes officinalis,,,sporocarp,"To relieve cough and calm asthma, dispel wind and eliminate damp, disperse swelling and relieve pain, disinhibit urine, resolve snake toxin.","Cough, asthma, chronic rheumatic arthritis, swelling pain in throat, stomachache, urethral stone, periodontitis, edema, poisonous snake bite.",,,,,HERB000021,,5602.0,,
HVM0012,阿里山五味子,A LI SHAN WU WEI ZI,Taiwan Magnoliavine,Schisandra arisanensis,,,,,,,,,,HERB000022,,3297.0,,
HVM0013,阿曼苏丹没药,A MAN SU DAN MO YAO,Sultanate-Oman Myrrhtree,Commiphora wightii,,,,,,,,,,HERB000025,,5281.0,,
HVM0014,阿诺特花椒,A NUO TI HUA JIAO,Arnotti Pricklyash,Zanthoxylum arnottianum,,,,,,,,,,HERB000026,,4170.0,,
