HVPID,name,Prescription Composition,Instructions,Treatment Symptoms,Source Document
HVP0000,小紫苏饮,紫苏5钱，厚朴5钱，白茯苓5钱，半夏3钱，甘草3钱。,,No Data.[无数据],《得效》卷十四。功效:护胎。
HVP0001,炮附子丸,附子（炮，去皮脐）2两。,,"胃脘有热，胃中有寒，呕吐不止。[There is heat in the stomach, cold in the stomach and vomiting.(Machine translation.)]",《得效》卷四。
HVP0002,清膈汤,黄连3钱，黄柏3钱，枳壳3钱，石膏3钱，玄参3钱，大黄3钱，甘草1钱。,,"口疮作痛，上焦实热者。[Mouth sore pain, on the coke solid heat.(Machine translation.)]",《玉案》卷三。
HVP0003,管仲散,黄连3钱，管仲3钱，甘草3钱，骆驼蓬5钱。,,No Data.[无数据],《御药院方》卷七。功效:解一切诸热毒，及食毒、酒毒、药毒。
HVP0004,发声散,瓜蒌1枚，白僵蚕（微炒）5分，桔梗7钱半，甘草（炒）3钱。,,"咽痛烦闷，咽物即痛，不宜寒凉药过泄之者。[Pharyngeal pain is boring, pharyngeal material is painful, should not be cold medicine excessive discharge.(Machine translation.)]",《赤水玄珠》卷三引《三因》。
HVP0005,生姜附子汤,附子（炮制，去皮脐，细切）。,,"痰冷癖气，胸满短气，呕沫头痛，饮食不消化；亦主卒风；岭南瘴疠，内弱发热，或寒热往来，痰逆呕吐，头痛身疼，或汗多，烦躁引饮，或自利，小便赤。[Cold phlegm, shortness of breath, vomit headache, indigestion of diet; It also controls the wind of death; Lingnan miasma, internal weak fever, or exchanges of cold and heat, phlegm and vomiting, headache and body pain, or sweating, irritability and drinking, or self-interest, red urine.(Machine translation.)]",《御药院方》卷二。
HVP0006,温胃化痰丸,半夏3两，橘皮（去白）2两，干姜（炮）2两，白术2两。,,"膈间有寒，脾胃停饮，胸中不快，痰涎不尽。[Diaphragmatic cold, spleen and stomach stop drinking, chest is not fast, phlegm saliva is not enough.(Machine translation.)]",《御药院方》卷五。
HVP0007,半夏利膈丸,防风（去芦头）1两，半夏（汤洗7遍去滑）1两。,,"风痰壅甚，头疼目眩，咽膈不利，涕唾稠粘，胸中烦满，酒癖停饮，呕逆恶心，胁下急痛，肠中水声，神思昏愦，心忪面热。[Wind phlegm, headache, dizziness, bad pharyngeal diaphragm, mucus and saliva, chest fullness, alcoholism, vomiting, nausea, hypochondriac pain, water in the intestine, dizziness, heart bleary and hot face.(Machine translation.)]",《普济方》卷一○四引《医方集成》。功效:止嗽化痰。
HVP0008,导饮丸,苍术1两，白茯苓1两，独活7钱，黄连5钱，吴茱萸3钱。,,水饮。[Drink water.(Machine translation.)],《济阳纲目》卷十一。
HVP0009,法制红半夏,半夏。,,No Data.[无数据],《御药院方》卷五。功效:治风热，止咳嗽，清头目，利咽膈，消痰降气。
HVP0010,人参枳壳汤,人参1两（去芦头），枳壳（麸炒，去瓤）1两，陈皮（去白）3两，半夏（汤洗7次）2两半。,,痰饮。[Phlegm.(Machine translation.)],《御药院方》卷五。功效:消痰利膈，下气润肠胃，消导一切气。
HVP0011,枳实半夏丸,枳实1两（麸炒黄色，去瓤），半夏1两半（汤洗7次，切作片子，焙干），白术3分，蓬莪术半两，白茯苓1分（去皮）。,,No Data.[无数据],《御药院方》卷五。功效:消痰顺气，利胸膈，进饮食。
HVP0012,淋渫药鸡冠散,鸡冠花1两，凤眼草1两。,,"五痔。肛边肿痛，或生鼠乳，或穿穴，或生疮，久而不愈，变成漏疮者。[Five hemorrhoids. Anal swelling and pain, or rat milk, or puncture, or sores, long and not healed, become leakage sores.(Machine translation.)]",《御药院方》卷八。
HVP0013,淋渫药,蛇床子（去皮，拣净）4两。,,"阴中痛及囊缩，津液不行。[Yin pain and capsule contraction, body fluid is not good.(Machine translation.)]",《御药院方》卷八。
HVP0014,接真汤,沉香2钱，丁香2钱，附子（炮裂，去皮脐）4钱，麝香1钱。,,"阴病手足厥冷，脐腹疼痛，真气不足，衰惫欲绝。[Yin disease, cold hands and feet, navel abdominal pain, lack of Qi, exhaustion.(Machine translation.)]",《御药院方》卷六。
HVP0015,黄连茯苓丸,黄连5两，白茯苓5两，破故纸（微炒）半两，菖蒲半两。,,虚损。[Virtual damage.(Machine translation.)],《御药院方》卷六。功效:壮水源，降心火。
HVP0016,固真丸,鹿角1对（用杀者，去顶骨，截作3寸长短，解作2半，秤见斤两，用河水浸7日，每日1换新水，浸候日数足，每角1斤，入好黄蜡1两，用瓷缸子纳，以河水用桑柴火煮3伏时，不得住火，如水少，渐渐添，浸着角后煮得角软，削去黑皮，只取霜，晒干，将煮角汁再以慢火熬成清胶）。,,肾经虚损，真元不足。[Deficiency of kidney meridian and deficiency of true element.(Machine translation.)],《御药院方》卷六。功效:暖丹田，补真气，活血脉，健筋骨，添精固气，延年助阳。
HVP0017,固真丸,菟丝子1斤（淘洗净，用好酒浸3日，煮极熟，捣膏，晒干，或用净白布包蒸亦佳），牡蛎（煅）4两，金樱子（去子，蒸熟）4两，茯苓（酒拌，蒸，晒）4两。,,梦遗精滑。[The dream is smooth.(Machine translation.)],《景岳全书》卷五十一。
HVP0018,二灵丹,儿茶1钱，冰片3分。,,"下疳，初起流脓。[Chancre, the beginning of pus.(Machine translation.)]",《疡医大全》卷二十四。
HVP0019,沉麝鹿茸丸,沉香1两，麝香1两（别研），鹿茸1两。,,一切恶气。[All evils.(Machine translation.)],《御药院方》卷六。功效:补益脾肾，强壮筋骨，内实五脏，外充肌肤，补益阳气，和畅荣卫。
HVP0020,当归立效散,当归1两，大黄1两，乳香1钱。,,眼睛疼痛。[Eye pain.(Machine translation.)],《御药院方》卷十。功效:凉血定痛。
HVP0021,桃仁膏,桃仁。,,"冬月唇于坼出血。产后遍身如粟粒，热如火者。[In winter, the lip cracks and bleeds. Postpartum all over the body, such as millet, hot as fire.(Machine translation.)]",方出《千金》春六，名见《普济方》卷五十八引《海上方》。
HVP0022,神仙玉女粉,益母草。,,(黑干)(黑曾)。[(heigan) (heizeng).(Machine translation.)],《御药院方》卷十。功效:退皴皴，令人皮肤光泽。
HVP0023,泻肝饮子,杏仁（去皮）、扁蓄、桑白皮。,,"眼痛，赤侵白处。[Eye pain, red into white.(Machine translation.)]",《急救仙方》卷三。
