HVMID,HVCID
HVM0000,HVC6510
HVM0000,HVC5383
HVM0000,HVC3262
HVM0000,HVC5217
HVM0000,HVC4691
HVM0000,HVC5635
HVM0000,HVC3583
HVM0000,HVC6474
HVM0000,HVC2671
HVM0001,HVC4728
HVM0002,HVC5365
HVM0003,HVC5540
HVM0004,HVC6126
HVM0005,HVC3244
HVM0005,HVC3244
HVM0006,HVC4051
HVM0006,HVC3854
HVM0007,HVC6364
HVM0007,HVC6000
HVM0007,HVC3803
HVM0008,HVC0292
HVM0008,HVC0296
HVM0008,HVC0078
HVM0008,HVC5451
HVM0009,HVC1709
HVM0009,HVC0085
HVM0009,HVC2585
HVM0009,HVC4671
HVM0009,HVC0082
HVM0010,HVC2726
HVM0010,HVC5279
HVM0010,HVC2967
HVM0010,HVC3069
HVM0010,HVC6452
HVM0010,HVC0101
HVM0010,HVC6198
HVM0010,HVC6549
HVM0011,HVC5667
HVM0011,HVC0310
HVM0011,HVC2697
HVM0011,HVC2422
HVM0011,HVC0443
HVM0011,HVC0694
HVM0011,HVC0455
HVM0011,HVC0189
HVM0011,HVC0262
HVM0011,HVC2465
HVM0012,HVC5050
HVM0012,HVC6051
HVM0012,HVC2642
HVM0012,HVC6373
HVM0013,HVC5181
HVM0014,HVC0638
HVM0014,HVC2484
HVM0014,HVC2136
HVM0014,HVC2136
HVM0015,HVC2133
HVM0015,HVC0752
HVM0015,HVC4564
HVM0015,HVC0789
HVM0015,HVC2966
HVM0015,HVC2211
HVM0015,HVC1795
HVM0015,HVC0747
HVM0015,HVC4148
HVM0015,HVC5222
HVM0015,HVC2133
HVM0015,HVC4564
HVM0015,HVC0465
HVM0015,HVC0891
HVM0015,HVC4564
HVM0015,HVC6796
HVM0015,HVC2045
HVM0015,HVC2211
HVM0015,HVC0893
HVM0016,HVC0800
HVM0017,HVC3906
HVM0018,HVC5023
HVM0018,HVC1643
HVM0018,HVC1779
HVM0018,HVC6498
HVM0018,HVC1434
HVM0018,HVC3269
HVM0018,HVC4128
HVM0018,HVC0868
HVM0018,HVC0103
HVM0018,HVC0799
HVM0018,HVC1315
HVM0018,HVC2176
HVM0018,HVC2047
HVM0018,HVC1742
HVM0018,HVC2047
HVM0018,HVC1063
HVM0018,HVC0787
HVM0018,HVC0787
HVM0018,HVC0822
HVM0018,HVC0732
HVM0018,HVC1838
HVM0018,HVC1685
HVM0018,HVC2453
HVM0018,HVC6382
HVM0018,HVC1466
HVM0018,HVC1249
HVM0018,HVC1355
HVM0018,HVC1161
HVM0018,HVC2488
HVM0018,HVC2004
HVM0018,HVC2471
HVM0018,HVC2471
HVM0018,HVC0573
HVM0018,HVC2817
HVM0018,HVC1779
HVM0018,HVC1299
HVM0018,HVC1299
HVM0018,HVC3905
HVM0018,HVC2903
HVM0018,HVC3006
HVM0018,HVC2056
HVM0018,HVC4302
HVM0018,HVC6675
HVM0018,HVC6340
HVM0018,HVC1299
HVM0018,HVC0485
HVM0018,HVC0046
HVM0018,HVC0049
HVM0018,HVC0930
HVM0018,HVC0364
HVM0018,HVC2966
HVM0018,HVC1226
HVM0018,HVC1226
HVM0018,HVC1281
HVM0018,HVC4986
HVM0018,HVC0381
HVM0018,HVC0381
HVM0018,HVC0066
HVM0018,HVC4757
HVM0018,HVC1967
HVM0018,HVC4612
HVM0018,HVC2261
HVM0018,HVC1160
HVM0018,HVC0447
HVM0018,HVC1772
HVM0018,HVC0743
HVM0018,HVC1614
HVM0018,HVC2215
HVM0018,HVC1614
HVM0018,HVC4757
HVM0018,HVC0465
HVM0018,HVC3114
HVM0018,HVC2975
HVM0018,HVC0868
HVM0018,HVC3749
HVM0018,HVC0302
HVM0018,HVC3049
HVM0018,HVC0103
HVM0018,HVC1170
HVM0018,HVC0232
HVM0018,HVC3387
HVM0018,HVC0789
HVM0018,HVC0865
HVM0018,HVC2176
HVM0018,HVC2270
HVM0018,HVC6006
HVM0018,HVC5480
HVM0018,HVC5563
HVM0018,HVC0530
HVM0018,HVC3049
HVM0018,HVC0732
HVM0018,HVC4957
HVM0018,HVC3656
HVM0018,HVC1161
HVM0018,HVC0547
HVM0018,HVC1643
HVM0018,HVC1063
HVM0018,HVC5524
HVM0018,HVC5525
HVM0018,HVC1436
HVM0018,HVC2667
