Ensembl_ID,protein_name,gene_name
ENSP00000000233,ADP-ribosylation factor 5,ARF5
ENSP00000000412,Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46),M6PR MPR46 MPRD
ENSP00000001008,"Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]",FKBP4 FKBP52
ENSP00000001146,Cytochrome P450 26B1 (EC 1.14.13.-) (Cytochrome P450 26A2) (Cytochrome P450 retinoic acid-inactivating 2) (Cytochrome P450RAI-2) (Retinoic acid-metabolizing cytochrome),CYP26B1 CYP26A2 P450RAI2
ENSP00000002125,"Protein arginine methyltransferase NDUFAF7, mitochondrial (EC 2.1.1.320) (NADH dehydrogenase [ubiquinone] complex I, assembly factor 7) (Protein midA homolog)",NDUFAF7 C2orf56 PRO1853
ENSP00000002165,Plasma alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase 2) (Alpha-L-fucosidase 2),FUCA2 PSEC0151 UNQ227/PRO260
ENSP00000002596,Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (3-OST-1) (Heparan sulfate 3-O-sulfotransferase 1) (h3-OST-1),HS3ST1 3OST 3OST1
ENSP00000002829,Semaphorin-3F (Sema III/F) (Semaphorin IV) (Sema IV),SEMA3F
ENSP00000003084,Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel),CFTR ABCC7
ENSP00000003100,Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),CYP51A1 CYP51
ENSP00000003302,Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.4.19.12) (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28),USP28 KIAA1515
ENSP00000004531,Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2),SLC7A2 ATRC2 CAT2
ENSP00000005178,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 4)",PDK4 PDHK4
ENSP00000005226,USH1 protein network component harmonin,USH1C
ENSP00000005257,Ras-related protein Ral-A (EC 3.6.5.2),RALA RAL
ENSP00000005260,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 (BAI1-associated protein 2-like protein 1) (Insulin receptor tyrosine kinase substrate),BAIAP2L1 IRTKS
ENSP00000005286,Transmembrane protein 132A (HSPA5-binding protein 1),TMEM132A HSPA5BP1 KIAA1583
ENSP00000005340,Segment polarity protein dishevelled homolog DVL-2 (Dishevelled-2) (DSH homolog 2),DVL2
ENSP00000005386,RNA polymerase II-associated protein 3,RPAP3
ENSP00000005587,Src kinase-associated phosphoprotein 2 (Pyk2/RAFTK-associated protein) (Retinoic acid-induced protein 70) (SKAP55 homolog) (SKAP-55HOM) (SKAP-HOM) (Src family-associated phosphoprotein 2) (Src kinase-associated phosphoprotein 55-related protein) (Src-associated adapter protein with PH and SH3 domains),SKAP2 PRAP RA70 SAPS SCAP2 SKAP55R
ENSP00000005995,Testisin (EC 3.4.21.-) (Eosinophil serine protease 1) (ESP-1) (Serine protease 21),PRSS21 ESP1 TEST1 UNQ266/PRO303
ENSP00000006015,Homeobox protein Hox-A11 (Homeobox protein Hox-1I),HOXA11 HOX1I
ENSP00000006053,Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1) [Cleaved into: Processed fractalkine],CX3CL1 FKN NTT SCYD1 A-152E5.2
ENSP00000006275,Trafficking protein particle complex subunit 6A (TRAPP complex subunit 6A),TRAPPC6A HSPC289
ENSP00000006526,WD repeat-containing protein 54,WDR54
ENSP00000006658,Spermatogenesis-associated protein 20 (Sperm-specific protein 411) (Ssp411),SPATA20
ENSP00000006724,Carcinoembryonic antigen-related cell adhesion molecule 7 (CEA cell adhesion molecule 7) (Carcinoembryonic antigen CGM2),CEACAM7 CGM2
ENSP00000006777,Rhomboid domain-containing protein 2,RHBDD2 RHBDL7
ENSP00000007390,18S rRNA aminocarboxypropyltransferase (EC 2.5.1.-) (20S S rRNA accumulation protein 3 homolog) (HsTsr3),TSR3 C16orf42 UND313L
ENSP00000007414,Oxysterol-binding protein-related protein 7 (ORP-7) (OSBP-related protein 7),OSBPL7 ORP7
ENSP00000007699,Y-box-binding protein 2 (Contrin) (DNA-binding protein C) (Dbpc) (Germ cell-specific Y-box-binding protein) (MSY2 homolog),YBX2 CSDA3 MSY2
ENSP00000007722,Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain],ITGA3 MSK18
ENSP00000007735,"Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)",KRT33A HHA3-I HKA3A KRTHA3A
ENSP00000008391,Transcription factor AP-2-delta (AP2-delta) (Activating enhancer-binding protein 2-delta) (Transcription factor AP-2-beta-like 1),TFAP2D TFAP2BL1
ENSP00000008527,Cryptochrome-1,CRY1 PHLL1
ENSP00000008938,Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S),PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269
ENSP00000009041,STARD3 N-terminal-like protein (MLN64 N-terminal domain homolog),STARD3NL MENTHO UNQ855/PRO1864
ENSP00000009105,Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III),CAMK1G CLICK3 VWS1
ENSP00000009530,HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide (CLIP)],CD74 DHLAG
ENSP00000010299,Electron transfer flavoprotein subunit alpha (Alpha-ETF),ETFA
ENSP00000011292,Carboxypeptidase A1 (EC 3.4.17.1),CPA1 CPA
ENSP00000011473,Synaptophysin-like protein 1 (Pantophysin),SYPL1 SYPL
ENSP00000011619,Ran-binding protein 9 (RanBP9) (BPM-L) (BPM90) (Ran-binding protein M) (RanBPM) (RanBP7),RANBP9 RANBPM
ENSP00000011653,T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4),CD4
ENSP00000011898,Tetraspanin-9 (Tspan-9) (Tetraspan NET-5),TSPAN9 NET5
ENSP00000012049,Glutaminyl-peptide cyclotransferase-like protein (EC 2.3.2.5) (Golgi-resident glutaminyl-peptide cyclotransferase) (isoQC) (gQC),QPCTL
ENSP00000012443,Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT),PPP5C PPP5
ENSP00000013070,Putative E3 ubiquitin-protein ligase UBR7 (EC 2.3.2.27) (N-recognin-7) (RING-type E3 ubiquitin transferase UBR7),UBR7 C14orf130
ENSP00000013125,Mitogen-activated protein kinase kinase kinase kinase 5 (EC 2.7.11.1) (Kinase homologous to SPS1/STE20) (KHS) (MAPK/ERK kinase kinase kinase 5) (MEK kinase kinase 5) (MEKKK 5),MAP4K5
ENSP00000013222,Indolethylamine N-methyltransferase (Indolamine N-methyltransferase) (EC 2.1.1.49) (EC 2.1.1.96) (Aromatic alkylamine N-methyltransferase) (Amine N-methyltransferase) (Arylamine N-methyltransferase) (Thioether S-methyltransferase) (TEMT),INMT
ENSP00000013807,DNA excision repair protein ERCC-1,ERCC1
ENSP00000014914,Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Phorbol ester induced gene 1) (PEIG-1) (Retinoic acid-induced gene 1 protein) (RAIG-1),GPRC5A GPCR5A RAI3 RAIG1
ENSP00000014930,Heme-binding protein 1 (p22HBP),HEBP1 HBP
ENSP00000016171,Cytochrome c oxidase assembly protein COX15 homolog,COX15
ENSP00000016946,RANBP2-like and GRIP domain-containing protein 5/6 (Ran-binding protein 2-like 1/2) (RanBP2-like 1/2) (RanBP2L1) (RanBP2L2) (Sperm membrane protein BS-63),RGPD5 RANBP2L1 RGP5 RGP7 RGPD7; RGPD6 RANBP2L2 RGP6
ENSP00000017003,Xylosyltransferase 2 (EC 2.4.2.26) (Peptide O-xylosyltransferase 1) (Xylosyltransferase II) (XT-II) (XylT-II),XYLT2 XT2 UNQ3058/PRO9878
ENSP00000019103,Secretin receptor (SCT-R),SCTR
ENSP00000019317,"RalA-binding protein 1 (RalBP1) (76 kDa Ral-interacting protein) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (EC 7.6.2.2, EC 7.6.2.3) (Ral-interacting protein 1)",RALBP1 RLIP RLIP1 RLIP76
ENSP00000020673,PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1),PSD EFA6 EFA6A KIAA2011 PSD1 TYL
ENSP00000020926,Synaptotagmin-13 (Synaptotagmin XIII) (SytXIII),SYT13 KIAA1427
